epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,36601.8,0.66739,0.17561,0.04982,0.41992,0.86548,0.96356,0.92078,0.95783,0.79037,0.91747,0.89856,0.91337,0.90939,0.70647,0.52969,0.00266,0.37516,0.85201,0.001486,0.001486,0.001486
88,36948.6,0.6637,0.2109,0.0568,0.418,0.86573,0.96517,0.92297,0.95759,0.7887,0.91995,0.89605,0.91382,0.90997,0.70822,0.52359,0.00282,0.37376,0.8518,0.001387,0.001387,0.001387
89,37295,0.65517,0.21516,0.05389,0.41128,0.8669,0.97584,0.91737,0.95705,0.78793,0.9197,0.89932,0.9143,0.90993,0.7075,0.51734,0.00297,0.37408,0.85146,0.001288,0.001288,0.001288
90,37642.3,0.65019,0.19965,0.05605,0.4068,0.86711,0.96009,0.93036,0.95777,0.78876,0.91741,0.90235,0.91289,0.90932,0.70915,0.52202,0.0028,0.37128,0.85263,0.001189,0.001189,0.001189
91,38004.1,0.6255,0.22618,0.02807,0.36954,0.85543,0.97039,0.91797,0.95847,0.79192,0.91179,0.90537,0.91287,0.91029,0.70768,0.52842,0.00251,0.37118,0.8526,0.00109,0.00109,0.00109
92,38351.6,0.61031,0.22159,0.03037,0.36381,0.85672,0.97096,0.91749,0.95904,0.7962,0.90991,0.90159,0.91383,0.91142,0.70444,0.51683,0.00245,0.36929,0.85101,0.000991,0.000991,0.000991
93,38698.8,0.60591,0.21684,0.03054,0.35515,0.84992,0.97504,0.91824,0.95914,0.79721,0.9134,0.9031,0.91775,0.91296,0.7043,0.50476,0.00205,0.36891,0.85025,0.000892,0.000892,0.000892
94,39045.3,0.59694,0.19376,0.02966,0.3519,0.84971,0.97466,0.91673,0.9592,0.79758,0.92015,0.8985,0.92104,0.91588,0.70421,0.48954,0.00186,0.36762,0.85082,0.000793,0.000793,0.000793
95,39397.6,0.59409,0.20263,0.02776,0.34933,0.84551,0.9732,0.91824,0.96049,0.79886,0.92082,0.89799,0.92093,0.91853,0.70302,0.49164,0.00175,0.36859,0.85083,0.000694,0.000694,0.000694
96,39749.6,0.58026,0.2133,0.02592,0.33993,0.84238,0.97435,0.92019,0.96076,0.79978,0.92412,0.89932,0.92226,0.91954,0.70092,0.49325,0.00162,0.3671,0.85045,0.000595,0.000595,0.000595
97,40101.4,0.57891,0.20161,0.02889,0.33875,0.84514,0.97435,0.92027,0.96138,0.80193,0.92519,0.8988,0.92287,0.92008,0.6996,0.49262,0.00152,0.36556,0.8509,0.000496,0.000496,0.000496
98,40452.7,0.57316,0.19414,0.028,0.33537,0.84497,0.97591,0.92001,0.96136,0.80278,0.92588,0.89836,0.92262,0.92017,0.69915,0.49432,0.00139,0.36625,0.85133,0.000397,0.000397,0.000397
99,40801.9,0.56981,0.20334,0.02557,0.33297,0.84047,0.97829,0.92084,0.96199,0.80433,0.92665,0.89893,0.92303,0.92097,0.69754,0.49773,0.00134,0.36443,0.85091,0.000298,0.000298,0.000298
100,41154.3,0.56024,0.19432,0.02614,0.32739,0.83886,0.97908,0.92111,0.96217,0.80411,0.9273,0.89629,0.92339,0.92047,0.69729,0.49911,0.00138,0.36349,0.85084,0.000199,0.000199,0.000199
